"Indicator","Economy","Unit of Measure","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Definition","Data Coverage","Calendar Year","Base Year","Source","Footnotes"
"Mining and quarrying at current prices","Solomon Islands","Solomon Islands Dollars","...","...","...","1207377.608","2999700.614","3444174.052","4354390.909","5956359.98","9857077.131","30347947.59","56259233.84","473685135.9","436265759.1","222714818.1","105363767.8","113439636.5","44083886.62","44068418.54","26363406.64","28034605.97","23023108.82","24900000","240500000","...","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","National Statistics Office","For 2003–2011: No rebalancing had been carried out on estimates from 2003 to 2011, and therefore the GDP series by industry structure for this period do not add up. For 2003–2020: There are changes in basic concepts in line with the changing of the base year to 2012 and a closer consistency with the System of National Accounts 2008. Improvements to methodologies, data sources, concepts, and revisions to benchmark estimates have been implemented. For 2021–2022: SINSO reflected revisions to 2020 and past years arising from methodological improvements and the population census to the current revised GDP estimates. Any methodological changes made for the current measures have been chained to 2020 levels to avoid distorting the growth rates."
"Mining and quarrying at current prices","Sri Lanka","Sri Lankan Rupee","17151000000","17968000000","19888000000","25523000000","30129000000","35932000000","46202000000","56645000000","71768000000","79204400000","108119757900","138503635200","186287874700","217366115600","238855790100","260710280300","304841568500","355880021100","368863409300","366638459700","317949361600","355213584800","450744650900","400852071900","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Ending 31 December","","Department of Census and Statistics",""
"Mining and quarrying at current prices","Taipei,China","New Taiwan Dollar","23949000000","21892000000","22819000000","18906000000","20620000000","18765000000","18926000000","22912000000","23578000000","18039000000","19014000000","17178000000","15405000000","14267000000","14328000000","13257000000","10818000000","10536000000","11111000000","11865000000","12743000000","12076000000","11859000000","11749000000","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Directorate-General of Budget, Accounting, and Statistics",""
"Mining and quarrying at current prices","Tajikistan","Tajikistani Somoni","...","...","...","...","...","...","...","...","...","...","...","628500000","689800000","736200000","718200000","811200000","1550000000","2463100000","2528500000","2642300000","2410700000","4669700000","5027200000","5125570000","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Statistical Agency under President of the Republic of Tajikistan","For 2011–2014: Based on the 1993 System of National Accounts. For 2015–2023: Based on the 2008 System of National Accounts."
"Mining and quarrying at current prices","Thailand","Thai Baht","118757000000","127961000000","137028000000","155302000000","175486000000","222127000000","265022000000","286315000000","330615000000","326742000000","366998000000","400576000000","483427000000","496562000000","495627000000","431425000000","399753000000","386153000000","416991000000","411820000000","324142000000","357577000000","388511000000","343563000000","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","National Economic and Social Development Council",""
"Mining and quarrying at current prices","Timor-Leste","US Dollar","3754504.761","3955714.056","3284513.863","2689482.336","2123775.279","1944283.841","2248062.329","1517810.667","1417165.538","1358440.39","1000000","1251070.92","1524781.159","1737673.821","1657655.957","1594270.91","1418739.544","1407909.242","1288914.485","343121300.5","578209008.6","2060845091","1529446396","...","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","National Institute of Statistics Timor-Leste","For 2019–2020: Oil revenue from the Joint Petroleum Development Area is now included in GDP based on the new Timor-Leste Australia Maritime Boundary Treaty."
"Mining and quarrying at current prices","Tonga","Tongan Pa'anga","1071573.391","1145867.571","1176433.389","1432079.681","1314667.217","1328892.704","1491594.443","1661581.053","2160987.042","2508238.957","5978584.968","5838961.065","7726822.726","5819318.733","6074000.703","6159299.223","5666575.04","6024652.43","8096673.346","8610683.577","8067350.303","7648414.157","6148309.471","...","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Ending 30 June","","Tonga Department of Statistics (formerly Tonga Statistics Department)",""
"Mining and quarrying at current prices","Turkmenistan","Turkmenistan Manat","103857485","149726769","163270969","224024001","271243912","312859757","382913919","488233534","1430699509","1682097116","1822397576","...","...","...","...","...","...","...","...","...","...","...","...","...","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Ending 31 December","","United Nations Statistics Division","For 2000–2010: Includes electricity, gas, steam, and air–conditioning supply; water supply; and sewerage, waste management, and remediation activities."
"Mining and quarrying at current prices","Tuvalu","Australian Dollar","32512.39226","31946.59079","31891.20185","32233.34918","35027.81862","35560.41375","37717.83457","39212.07959","40341.89013","38567.24792","39816.8436","40432.92045","39772.27576","39394.6753","39564.68191","37862.27904","12797.5","13350.69975","14564.49262","14570.46572","16384.47184","16362.54883","17906.59482","...","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Central Statistics Division",""
"Mining and quarrying at current prices","Uzbekistan","Uzbekistani Sum","...","...","...","...","...","...","...","...","...","...","3298690800000","3511582400000","4987339900000","5463810700000","5421797000000","6449117400000","5960029200000","10433709100000","19710875600000","30865615300000","22161853600000","28649389300000","33396177800000","34975841900000","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Ending 31 December","","Statistics Agency under the President of the Republic of Uzbekistan","For 2010–2023: Data may not be comparable with data prior to 2010 due to improvements in methodology in accordance with international standards."
"Mining and quarrying at current prices","Vanuatu","Vanuatu Vatu","0","0","0","0","0","0","10000000","130000000","24000000","26000000","19000000","16000000","24000000","20000000","20000000","15000000","27000000","27000000","34000000","35000000","42000000","116000000","...","...","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Vanuatu Bureau of Statistics",""
"Mining and quarrying at current prices","Viet Nam","Vietnamese Dong","42606000000000","44345166810000","46153000000000","57325854790000","72492254310000","88897000000000","99702000000000","1.117E+14","1.46607E+14","1.6531E+14","1.8619937E+14","2.7576036E+14","3.0641551E+14","3.0589431E+14","3.2696046E+14","2.2078216E+14","1.8796061E+14","2.0636106E+14","2.4623562E+14","2.3103695E+14","1.9283992E+14","2.1137998E+14","2.7981845E+14","2.530617112E+14","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","General Statistics Office","For 2000–2009: GDP data are based on unreassessed/unreevaluated scale. For 2010–2023: GDP data are based on the reevaluated scale."
